Date,DY,RER,GER,INF,CPI,MP,UM,OP,BITCOIN,IR1TY,IR1US,RIR1TY,RIR1US,RIR1
00:00:00,,,,0.167564502,0.0001749158772461730,,,12.03,,,,,,
00:00:00,,,,0.156111111,0.0001767848181395270,,,12.1,,,,,,
00:00:00,,,,0.153569452,0.0001770821496452880,,,12.17,,,,,,
00:00:00,,,,0.149958803,0.0001778467163743870,,,12.17,,,,,,
00:00:00,,,,0.16698762,0.0001801828924910800,,,12.17,,,,,,
00:00:00,,,,0.174773289,0.0001815845981610950,,,12.17,,,,,,
00:00:00,,,,0.187345933,0.0001841331539247600,,,12.17,,,,,,
00:00:00,,,,0.193347756,0.0001874462764175240,,,13.9,,,,,,
00:00:00,,,,0.18330692,0.0001902921636869490,,,13.9,,,,,,
00:00:00,,,,0.173833724,0.0001913115859924150,,,13.9,,,,,,
00:00:00,,,,0.193316195,0.0001971732642488430,,,13.9,,,,,,
00:00:00,,,,0.159841152,0.0001984900180600700,,,13.9,,,,,,
00:00:00,,,,0.152501214,0.0002015907609058610,,,13.9,,,,,,
00:00:00,,,,0.168909178,0.0002066453965037960,,,13.9,,,,,,
00:00:00,,,,0.181098585,0.0002091514763380660,,,13.9,,,,,,
00:00:00,,,,0.194888942,0.0002125070747602240,,,13.9,,,,,,
00:00:00,,,,0.18717586,0.0002139087804302400,,,13.9,,,,,,
00:00:00,,,,0.220584795,0.0002216393995800220,,,13.9,,,,,,
00:00:00,,,,0.226989619,0.0002259294684488570,,,14.85,,,,,,
00:00:00,,,,0.293451167,0.0002424526049832820,,,14.85,,,,,,
00:00:00,,,,0.366071429,0.0002599526878937780,,,14.85,,,,,,
00:00:00,,,,0.44937833,0.0002772828670866970,,,14.85,,,,,,
00:00:00,,,,0.467686342,0.0002893885069641030,,,14.85,,,,,,
00:00:00,,,,0.516156645,0.0003009419597593820,,,14.85,,,,,,
00:00:00,,,,0.572271386,0.0003169553851410740,,,14.85,,,,,,
